bhe,vault,field_x_m,field_y_m,horizontal_pipe_length_m,screening_role,matched_control_bhe
1,1,6,50.0,17.5,other,
2,1,15,51.5,10.0,borderline_candidate,4.0
3,1,24,50.0,8.300000190734863,other,
4,1,33,50.0,17.799999237060547,matched_control,
5,1,42,50.0,27.5,other,
6,1,51,50.0,36.5,other,
7,1,60,50.0,45.5,other,
8,1,23,41.0,4.0,other,
9,1,11,35.5,10.0,other,
10,1,23,32.0,21.0,other,
11,1,6,27.5,28.5,other,
12,1,15,27.5,20.5,other,
13,2,23,14.0,,other,
14,2,35,6.8,40.5,other,
15,2,44,6.8,31.0,matched_control,
16,2,53,6.8,21.5,other,
17,2,62,6.8,12.0,other,
18,2,71,6.8,3.0,other,
19,2,80,6.8,3.0,other,
20,2,89,6.8,12.5,other,
21,2,98,6.8,21.5,other,
22,2,108,6.8,31.5,other,
23,3,116,11.5,33.5,other,
24,2,108,16.5,40.0,confirmed_candidate,15.0
25,2,89,16.5,23.5,other,
26,3,99,20.8,,other,
27,3,116,20.8,23.5,other,
28,3,108,25.5,11.0,other,
29,3,89,25.5,,other,
30,3,99,30.0,6.5,other,
31,3,116,30.0,16.0,other,
32,3,108,34.5,3.0,other,
33,3,99,39.0,,other,
34,3,116,39.0,15.0,matched_control,
35,3,92,43.5,,other,
36,3,108,43.5,24.5,confirmed_candidate,34.0
37,3,99,48.0,15.0,other,
38,3,116,48.0,23.0,confirmed_candidate,34.0
39,3,78,50.0,37.0,other,
40,3,69,50.0,46.0,other,
